run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
winlen0.5min_seed0,train,window,3160,1560,1600,0.8632911392405064,0.863213141025641,0.857051282051282,0.869375,0.8648124191461837,0.8609143593045718,0.7265363187207461,0.9396622596153844,0.936195679846522,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length/runs/winlen0.5min_seed0,logs/train/window_length/runs/winlen0.5min_seed0
winlen0.5min_seed0,train,subject,158,78,80,0.9493670886075948,0.9495192307692308,0.9615384615384616,0.9375,0.9375,0.9493670886075948,0.8990384615384616,0.9908653846153846,0.9903002576032548,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length/runs/winlen0.5min_seed0,logs/train/window_length/runs/winlen0.5min_seed0
winlen0.5min_seed0,test,window,820,420,400,0.6329268292682927,0.6325595238095238,0.6476190476190476,0.6175,0.64,0.6437869822485207,0.2652177332906653,0.6490059523809523,0.6319779415858842,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length/runs/winlen0.5min_seed0,logs/train/window_length/runs/winlen0.5min_seed0
winlen0.5min_seed0,test,subject,41,21,20,0.7073170731707317,0.7047619047619047,0.8095238095238095,0.6,0.68,0.7391304347826086,0.4196370313678692,0.7142857142857143,0.7002590373316101,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length/runs/winlen0.5min_seed0,logs/train/window_length/runs/winlen0.5min_seed0
winlen0.5min_seed1,train,window,3160,1560,1600,0.8544303797468354,0.8543028846153846,0.8442307692307692,0.864375,0.8585397653194263,0.8513251454427925,0.7088494781335472,0.9311770833333332,0.9280399573990904,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length/runs/winlen0.5min_seed1,logs/train/window_length/runs/winlen0.5min_seed1
winlen0.5min_seed1,train,subject,158,78,80,0.9556962025316456,0.9557692307692308,0.9615384615384616,0.95,0.9493670886075948,0.9554140127388536,0.9114654303753,0.983173076923077,0.9818628495000834,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length/runs/winlen0.5min_seed1,logs/train/window_length/runs/winlen0.5min_seed1
winlen0.5min_seed1,test,window,820,420,400,0.6353658536585366,0.6343452380952381,0.6761904761904762,0.5925,0.6353467561521253,0.6551326412918108,0.2697110479167888,0.7092380952380952,0.7248553453942264,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length/runs/winlen0.5min_seed1,logs/train/window_length/runs/winlen0.5min_seed1
winlen0.5min_seed1,test,subject,41,21,20,0.6585365853658537,0.655952380952381,0.7619047619047619,0.55,0.64,0.6956521739130435,0.3196072738906446,0.7714285714285714,0.8257608533537326,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length/runs/winlen0.5min_seed1,logs/train/window_length/runs/winlen0.5min_seed1
winlen0.5min_seed2,train,window,3160,1560,1600,0.85,0.8499439102564103,0.8455128205128205,0.854375,0.8498711340206185,0.8476863753213367,0.6999416642502939,0.9327752403846152,0.9312980706133386,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length/runs/winlen0.5min_seed2,logs/train/window_length/runs/winlen0.5min_seed2
winlen0.5min_seed2,train,subject,158,78,80,0.9430379746835444,0.9434294871794872,0.9743589743589745,0.9125,0.9156626506024096,0.9440993788819876,0.8879268362441244,0.9846153846153846,0.9838897901583046,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length/runs/winlen0.5min_seed2,logs/train/window_length/runs/winlen0.5min_seed2
winlen0.5min_seed2,test,window,820,420,400,0.6012195121951219,0.5997023809523809,0.6619047619047619,0.5375,0.6004319654427646,0.6296715741789355,0.2010321709380031,0.6594107142857142,0.6894921296091601,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length/runs/winlen0.5min_seed2,logs/train/window_length/runs/winlen0.5min_seed2
winlen0.5min_seed2,test,subject,41,21,20,0.6097560975609756,0.6071428571428572,0.7142857142857143,0.5,0.6,0.6521739130434783,0.2195775164134199,0.7166666666666667,0.787495034442039,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length/runs/winlen0.5min_seed2,logs/train/window_length/runs/winlen0.5min_seed2
winlen0.5min_seed3,train,window,3160,1560,1600,0.8613924050632912,0.8612820512820513,0.8525641025641025,0.87,0.8647594278283485,0.8586184635248547,0.7227616148967423,0.9361073717948718,0.9304989686117217,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/window_length/runs/winlen0.5min_seed3,logs/train/window_length/runs/winlen0.5min_seed3
winlen0.5min_seed3,train,subject,158,78,80,0.930379746835443,0.9306089743589744,0.9487179487179488,0.9125,0.9135802469135802,0.9308176100628932,0.8614250469411462,0.9815705128205128,0.9795530011140746,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/window_length/runs/winlen0.5min_seed3,logs/train/window_length/runs/winlen0.5min_seed3
winlen0.5min_seed3,test,window,820,420,400,0.6926829268292682,0.6914880952380953,0.7404761904761905,0.6425,0.6850220264317181,0.7116704805491991,0.3850861921174438,0.7293571428571428,0.7145906693421528,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/window_length/runs/winlen0.5min_seed3,logs/train/window_length/runs/winlen0.5min_seed3
winlen0.5min_seed3,test,subject,41,21,20,0.8048780487804879,0.8023809523809524,0.9047619047619048,0.7,0.76,0.8260869565217391,0.6196965463223185,0.8476190476190476,0.8164331344608204,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/window_length/runs/winlen0.5min_seed3,logs/train/window_length/runs/winlen0.5min_seed3
winlen0.5min_seed4,train,window,3160,1560,1600,0.8449367088607594,0.8447756410256411,0.8320512820512821,0.8575,0.8505897771952818,0.8412184057031756,0.6898990832808086,0.9308713942307691,0.92755717367221,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/window_length/runs/winlen0.5min_seed4,logs/train/window_length/runs/winlen0.5min_seed4
winlen0.5min_seed4,train,subject,158,78,80,0.9240506329113924,0.9245192307692308,0.9615384615384616,0.8875,0.8928571428571429,0.925925925925926,0.8506759528601809,0.9841346153846154,0.983445837954624,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/window_length/runs/winlen0.5min_seed4,logs/train/window_length/runs/winlen0.5min_seed4
winlen0.5min_seed4,test,window,820,420,400,0.6695121951219513,0.6716071428571428,0.5857142857142857,0.7575,0.717201166180758,0.6448230668414154,0.3477873229330429,0.7662380952380953,0.7632122402616153,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/window_length/runs/winlen0.5min_seed4,logs/train/window_length/runs/winlen0.5min_seed4
