run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
cap10_seed2,test,window,301,174,127,0.5681063122923588,0.5551859896823242,0.6379310344827587,0.4724409448818897,0.6235955056179775,0.6306818181818182,0.1108849892784471,0.578785410444384,0.6328474778523216,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed2",logs/train/icaclean_bipolar/runs/cap10_seed2
cap10_seed2,test,subject,41,21,20,0.5853658536585366,0.5833333333333333,0.6666666666666666,0.5,0.5833333333333334,0.6222222222222222,0.1690998853986308,0.6095238095238095,0.6247335796721876,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed2",logs/train/icaclean_bipolar/runs/cap10_seed2
cap10_seed3,train,window,1128,656,472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed3",logs/train/icaclean_bipolar/runs/cap10_seed3
cap10_seed3,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed3",logs/train/icaclean_bipolar/runs/cap10_seed3
cap10_seed3,test,window,289,175,114,0.5882352941176471,0.5759147869674186,0.6342857142857142,0.5175438596491229,0.6686746987951807,0.6510263929618768,0.1500794479659497,0.6040100250626567,0.724253204844783,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed3",logs/train/icaclean_bipolar/runs/cap10_seed3
cap10_seed3,test,subject,41,21,20,0.5853658536585366,0.5833333333333333,0.6666666666666666,0.5,0.5833333333333334,0.6222222222222222,0.1690998853986308,0.6023809523809524,0.6476806234311656,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed3",logs/train/icaclean_bipolar/runs/cap10_seed3
cap10_seed4,train,window,1131,661,470,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed4",logs/train/icaclean_bipolar/runs/cap10_seed4
cap10_seed4,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed4",logs/train/icaclean_bipolar/runs/cap10_seed4
cap10_seed4,test,window,286,170,116,0.6713286713286714,0.6509634888438134,0.7588235294117647,0.5431034482758621,0.7087912087912088,0.7329545454545454,0.3081789785442461,0.6781947261663285,0.7203024839799996,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed4",logs/train/icaclean_bipolar/runs/cap10_seed4
cap10_seed4,test,subject,41,21,20,0.6829268292682927,0.6797619047619048,0.8095238095238095,0.55,0.6538461538461539,0.723404255319149,0.3730954893860876,0.7333333333333333,0.7227217707433944,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=10; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap10_seed4",logs/train/icaclean_bipolar/runs/cap10_seed4
cap20_seed0,train,window,1691,1072,619,0.9822590183323476,0.9856661261543656,0.9729477611940298,0.9983844911147012,0.9990421455938696,0.9858223062381852,0.9627380505643937,0.9984643623562316,0.999206871383476,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed0",logs/train/icaclean_bipolar/runs/cap20_seed0
cap20_seed0,train,subject,158,78,80,0.9936708860759492,0.9935897435897436,0.9871794871794872,1.0,1.0,0.9935483870967742,0.9874168755410236,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed0",logs/train/icaclean_bipolar/runs/cap20_seed0
cap20_seed0,test,window,375,250,125,0.6533333333333333,0.61,0.74,0.48,0.74,0.74,0.22,0.6450239999999999,0.7546552733169429,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed0",logs/train/icaclean_bipolar/runs/cap20_seed0
cap20_seed0,test,subject,41,21,20,0.6097560975609756,0.6059523809523809,0.7619047619047619,0.45,0.5925925925925926,0.6666666666666666,0.223367231551576,0.6785714285714285,0.6666477520353564,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed0",logs/train/icaclean_bipolar/runs/cap20_seed0
cap20_seed1,train,window,1653,1034,619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed1",logs/train/icaclean_bipolar/runs/cap20_seed1
cap20_seed1,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed1",logs/train/icaclean_bipolar/runs/cap20_seed1
cap20_seed1,test,window,413,288,125,0.6852300242130751,0.6339444444444444,0.7638888888888888,0.504,0.7801418439716312,0.7719298245614035,0.2644513262154354,0.7129166666666666,0.8544629023543078,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed1",logs/train/icaclean_bipolar/runs/cap20_seed1
cap20_seed1,test,subject,41,21,20,0.6585365853658537,0.6547619047619048,0.8095238095238095,0.5,0.6296296296296297,0.7083333333333334,0.3262667427157852,0.7761904761904761,0.7912763181107192,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed1",logs/train/icaclean_bipolar/runs/cap20_seed1
cap20_seed2,train,window,1610,1052,558,0.9987577639751553,0.9990494296577948,0.9980988593155894,1.0,1.0,0.9990485252140818,0.9972633656824658,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed2",logs/train/icaclean_bipolar/runs/cap20_seed2
cap20_seed2,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed2",logs/train/icaclean_bipolar/runs/cap20_seed2
cap20_seed2,test,window,456,270,186,0.5899122807017544,0.5591995221027479,0.725925925925926,0.3924731182795699,0.6343042071197411,0.6770293609671848,0.1244940637874779,0.5611708482676224,0.6232874572569427,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed2",logs/train/icaclean_bipolar/runs/cap20_seed2
cap20_seed2,test,subject,41,21,20,0.6341463414634146,0.6297619047619047,0.8095238095238095,0.45,0.6071428571428571,0.6938775510204082,0.2787732902510649,0.5809523809523809,0.5619389778743151,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed2",logs/train/icaclean_bipolar/runs/cap20_seed2
cap20_seed3,train,window,1655,1049,606,0.9003021148036254,0.9011442612326056,0.897998093422307,0.9042904290429042,0.942,0.9194729136163984,0.7903764388104509,0.9696583576374797,0.9832680104605398,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed3",logs/train/icaclean_bipolar/runs/cap20_seed3
cap20_seed3,train,subject,158,78,80,0.9430379746835444,0.9432692307692307,0.9615384615384616,0.925,0.925925925925926,0.9433962264150944,0.8867516486189841,0.9876602564102565,0.9886825368444704,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed3",logs/train/icaclean_bipolar/runs/cap20_seed3
cap20_seed3,test,window,411,273,138,0.6180048661800487,0.5924112119764293,0.6703296703296703,0.5144927536231884,0.732,0.6998087954110899,0.1788103223487906,0.6639857726814249,0.8113172318522258,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed3",logs/train/icaclean_bipolar/runs/cap20_seed3
cap20_seed3,test,subject,41,21,20,0.6341463414634146,0.6333333333333333,0.6666666666666666,0.6,0.6363636363636364,0.6511627906976745,0.2673038639112461,0.6904761904761905,0.7150365400739689,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed3",logs/train/icaclean_bipolar/runs/cap20_seed3
cap20_seed4,train,window,1651,1058,593,0.9987886129618412,0.999054820415879,0.998109640831758,1.0,1.0,0.999053926206244,0.9973738769600934,1.0,1.0,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed4",logs/train/icaclean_bipolar/runs/cap20_seed4
cap20_seed4,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed4",logs/train/icaclean_bipolar/runs/cap20_seed4
cap20_seed4,test,window,415,264,151,0.7253012048192771,0.6933825005017058,0.8106060606060606,0.5761589403973509,0.7697841726618705,0.7896678966789668,0.3956898614530311,0.7303582179409994,0.8026922393196942,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed4",logs/train/icaclean_bipolar/runs/cap20_seed4
cap20_seed4,test,subject,41,21,20,0.7317073170731707,0.7273809523809525,0.9047619047619048,0.55,0.6785714285714286,0.7755102040816326,0.488492646219756,0.7642857142857143,0.7580804929559168,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,4,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=20; data.seed=4; output_dir=logs/train/icaclean_bipolar/runs/cap20_seed4",logs/train/icaclean_bipolar/runs/cap20_seed4
cap40_seed0,train,window,2397,1645,752,0.9741343345848978,0.980433130699088,0.9635258358662614,0.9973404255319148,0.9987397605545052,0.9808168316831684,0.9425922030293008,0.99795641208045,0.9991360181921556,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap40_seed0",logs/train/icaclean_bipolar/runs/cap40_seed0
cap40_seed0,train,subject,158,78,80,0.9936708860759492,0.9935897435897436,0.9871794871794872,1.0,1.0,0.9935483870967742,0.9874168755410236,1.0,0.9999999999999998,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap40_seed0",logs/train/icaclean_bipolar/runs/cap40_seed0
cap40_seed0,test,window,514,356,158,0.7178988326848249,0.6625835585265254,0.8061797752808989,0.5189873417721519,0.790633608815427,0.7983310152990264,0.3293960423302493,0.7214656521120751,0.8255932199071401,ica_clean,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=ica_clean; data.ica_keep_labels=[brain,other]; data.bipolar=true; data.filter_freq=[1,100]; data.notch_freqs=[60]; data.max_windows_per_subject=40; data.seed=0; output_dir=logs/train/icaclean_bipolar/runs/cap40_seed0",logs/train/icaclean_bipolar/runs/cap40_seed0
