run,split,level,n,n_pos,n_neg,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,roc_auc,average_precision,signal_mode,ica_keep_labels,brain_ic_min_gof,brain_ic_use_dipoles,model,seed,overrides,path
winlen0.5min_seed0,train,window,3160,1560,1600,0.8753164556962025,0.8752323717948718,0.8685897435897436,0.881875,0.8775906735751295,0.8730670103092784,0.7505994786657886,0.946301282051282,0.9417346641033276,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed0; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed0
winlen0.5min_seed0,train,subject,158,78,80,0.9556962025316456,0.9560897435897436,0.9871794871794872,0.925,0.927710843373494,0.9565217391304348,0.9132778373512028,0.9951923076923076,0.9951859332037044,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed0; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed0
winlen0.5min_seed0,test,window,820,420,400,0.6634146341463415,0.6636309523809524,0.6547619047619048,0.6725,0.6773399014778325,0.6658595641646489,0.3271801199537397,0.7126190476190476,0.6899560271606433,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed0; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed0
winlen0.5min_seed0,test,subject,41,21,20,0.7073170731707317,0.7071428571428571,0.7142857142857143,0.7,0.7142857142857143,0.7142857142857143,0.4142857142857143,0.8023809523809524,0.8357278605376031,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,0,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=0; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed0; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed0
winlen0.5min_seed1,train,window,3160,1560,1600,0.8746835443037975,0.8745833333333333,0.8666666666666667,0.8825,0.8779220779220779,0.8722580645161291,0.7493468197693469,0.9466935096153848,0.9454280362617926,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed1; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed1
winlen0.5min_seed1,train,subject,158,78,80,0.9556962025316456,0.9557692307692308,0.9615384615384616,0.95,0.9493670886075948,0.9554140127388536,0.9114654303753,0.9939102564102564,0.993845088869513,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed1; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed1
winlen0.5min_seed1,test,window,820,420,400,0.6621951219512195,0.6619642857142857,0.6714285714285714,0.6525,0.669833729216152,0.6706302021403091,0.3239488188625024,0.7353511904761905,0.7268735472183039,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed1; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed1
winlen0.5min_seed1,test,subject,41,21,20,0.7317073170731707,0.7321428571428572,0.7142857142857143,0.75,0.75,0.7317073170731707,0.4642857142857143,0.780952380952381,0.810203997758213,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,1,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=1; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed1; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed1
winlen0.5min_seed2,train,window,3160,1560,1600,0.9617088607594936,0.9617147435897436,0.9621794871794872,0.96125,0.9603326935380678,0.9612552033301311,0.9234089548769108,0.9933834134615384,0.9935232107576284,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed2; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed2
winlen0.5min_seed2,train,subject,158,78,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed2; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed2
winlen0.5min_seed2,test,window,820,420,400,0.6085365853658536,0.6069642857142856,0.6714285714285714,0.5425,0.6064516129032258,0.6372881355932203,0.2158155726405569,0.660904761904762,0.6905910272236093,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed2; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed2
winlen0.5min_seed2,test,subject,41,21,20,0.6341463414634146,0.6309523809523809,0.7619047619047619,0.5,0.6153846153846154,0.6808510638297872,0.2717914161090704,0.7761904761904762,0.8207569699848827,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,2,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=2; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed2; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed2
winlen0.5min_seed3,train,window,3160,1560,1600,0.8829113924050633,0.8829166666666666,0.8833333333333333,0.8825,0.879948914431673,0.8816378758797185,0.7658020391778738,0.9532564102564104,0.950994772347675,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed3; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed3
winlen0.5min_seed3,train,subject,158,78,80,0.9620253164556962,0.9623397435897436,0.9871794871794872,0.9375,0.9390243902439024,0.9625,0.9252728009955428,0.9931089743589744,0.9931624256750912,raw,"['brain', 'other']",0.0,True,LogisticRegressionCV,3,"data.lazy_loading=true; model.class_weight=balanced; data.signal_mode=raw; data.window_len_min=0.5; data.max_windows_per_subject=20; data.seed=3; output_dir=logs/train/window_length_notch/runs/winlen0.5min_seed3; data.notch_freqs=[60,120]",logs/train/window_length_notch/runs/winlen0.5min_seed3
